513.584,1597254540000,0
532.962,1597254840000,0
553.188,1597255140000,0
570.056,1597255440000,0
587.841,1597255740000,0
605.716,1597256040000,0
622.835,1597256340000,0
637.985,1597256640000,0
654.268,1597256940000,0
669.207,1597257240000,0
683.081,1597257540000,0
683.081,1597257840000,0
683.081,1597258140000,0
683.081,1597258440000,0
683.085,1597258740000,0
683.085,1597259040000,0
683.917,1597259340000,0
711.645,1597259640000,0
746.965,1597259940000,0
773.485,1597260240000,0
801.275,1597260540000,0
834.383,1597260840000,0
879.667,1597261140000,0
921.72,1597261440000,0
960.756,1597261740000,0
1000.642,1597262040000,0
1037.082,1597262340000,0
1071.088,1597262640000,0
1111.546,1597262940000,0
1138.347,1597263240000,0
1151.884,1597263540000,0
1163.816,1597263840000,0
1196.907,1597264140000,0
1223.074,1597264440000,0
1245.114,1597264740000,0
1288.898,1597265040000,0
1313.092,1597265340000,0
1324.085,1597265640000,0
1336.54,1597265940000,0
1347.546,1597266240000,0
1357.979,1597266540000,0
1370.389,1597266840000,0
1395.206,1597267140000,0
1425.277,1597267440000,0
1439.461,1597267740000,0
1443.53,1597268040000,0
1448.085,1597268340000,0
1453.995,1597268940000,0
1456.921,1597269240000,0
1459.922,1597269540000,0
1462.929,1597269840000,0
1466.865,1597270140000,0
1471.004,1597270440000,0
1475.58,1597270740000,0
1481.436,1597271040000,0
1501.215,1597271340000,0
1512.788,1597271640000,0
1517.29,1597271940000,0
1521.509,1597272240000,0
1525.792,1597272540000,0
1528.326,1597272840000,0
1530.615,1597273140000,0
1532.633,1597273440000,0
1534.799,1597273740000,0
1537.193,1597274040000,0
1541.735,1597274340000,0
1545.772,1597274640000,0
1549.218,1597274940000,0
1553.23,1597275240000,0
1557.199,1597275540000,0
1560.861,1597275840000,0
1563.943,1597276140000,0
1566.51,1597276440000,0
1568.816,1597276740000,0
1570.688,1597277040000,0
1572.234,1597277340000,0
1573.759,1597277640000,0
1575.285,1597277940000,0
1576.624,1597278240000,0
1577.57,1597278540000,0
1578.245,1597278840000,0
1578.856,1597279140000,0
1579.352,1597279440000,0
1579.657,1597279740000,0
1579.962,1597280040000,0
1580.267,1597280340000,0
1580.572,1597280640000,0
1580.781,1597280940000,0
1580.781,1597281240000,0
1580.781,1597281540000,0
1580.781,1597281840000,0
